"country"	"year"	"alliance"
"Netherlands"	2008	1
"Netherlands"	2009	1
"Netherlands"	2010	1
"Netherlands"	2011	1
"Netherlands"	2012	1
"Belgium"	2003	1
"Belgium"	2004	1
"Belgium"	2005	1
"Belgium"	2006	1
"Belgium"	2007	1
"Belgium"	2008	1
"Belgium"	2009	1
"Belgium"	2010	1
"Belgium"	2011	1
"Belgium"	2012	1
"Luxembourg"	2003	1
"Luxembourg"	2004	1
"Luxembourg"	2005	1
"Luxembourg"	2006	1
"Luxembourg"	2007	1
"Luxembourg"	2008	1
"Luxembourg"	2009	1
"Luxembourg"	2010	1
"Luxembourg"	2011	1
"Luxembourg"	2012	1
"France"	2003	1
"France"	2004	1
"France"	2005	1
"France"	2006	1
"France"	2007	1
"France"	2008	1
"France"	2009	1
"France"	2010	1
"France"	2011	1
"France"	2012	1
"Spain"	2003	1
"Spain"	2004	1
"Spain"	2005	1
"Spain"	2006	1
"Spain"	2007	1
"Spain"	2008	1
"Spain"	2009	1
"Spain"	2010	1
"Spain"	2011	1
"Spain"	2012	1
"Portugal"	2003	1
"Portugal"	2004	1
"Portugal"	2005	1
"Portugal"	2006	1
"Portugal"	2007	1
"Portugal"	2008	1
"Portugal"	2009	1
"Portugal"	2010	1
"Portugal"	2011	1
"Portugal"	2012	1
"Germany"	2003	1
"Germany"	2004	1
"Germany"	2005	1
"Germany"	2006	1
"Germany"	2007	1
"Germany"	2008	1
"Germany"	2009	1
"Germany"	2010	1
"Germany"	2011	1
"Germany"	2012	1
"Poland"	2003	1
"Poland"	2004	1
"Poland"	2005	1
"Poland"	2006	1
"Poland"	2007	1
"Poland"	2008	1
"Poland"	2009	1
"Poland"	2010	1
"Poland"	2011	1
"Poland"	2012	1
"Hungary"	2003	1
"Hungary"	2004	1
"Hungary"	2005	1
"Hungary"	2006	1
"Hungary"	2007	1
"Hungary"	2008	1
"Hungary"	2009	1
"Hungary"	2010	1
"Hungary"	2011	1
"Hungary"	2012	1
"Czech Republic"	2003	1
"Czech Republic"	2004	1
"Czech Republic"	2005	1
"Czech Republic"	2006	1
"Czech Republic"	2007	1
"Czech Republic"	2008	1
"Czech Republic"	2009	1
"Czech Republic"	2010	1
"Czech Republic"	2011	1
"Czech Republic"	2012	1
"Italy"	2003	1
"Italy"	2004	1
"Italy"	2005	1
"Italy"	2006	1
"Italy"	2007	1
"Italy"	2008	1
"Italy"	2009	1
"Italy"	2010	1
"Italy"	2011	1
"Italy"	2012	1
"Greece"	2003	1
"Greece"	2004	1
"Greece"	2005	1
"Greece"	2006	1
"Greece"	2007	1
"Greece"	2008	1
"Greece"	2009	1
"Greece"	2010	1
"Greece"	2011	1
"Greece"	2012	1
"Norway"	2003	1
"Norway"	2004	1
"Norway"	2005	1
"Norway"	2006	1
"Norway"	2007	1
"Norway"	2008	1
"Norway"	2009	1
"Norway"	2010	1
"Norway"	2011	1
"Norway"	2012	1
"Denmark"	2003	1
"Denmark"	2004	1
"Denmark"	2005	1
"Denmark"	2006	1
"Denmark"	2007	1
"Denmark"	2008	1
"Denmark"	2009	1
"Denmark"	2010	1
"Denmark"	2011	1
"Denmark"	2012	1
"Iceland"	2003	1
"Iceland"	2004	1
"Iceland"	2005	1
"Iceland"	2006	1
"Iceland"	2007	1
"Iceland"	2008	1
"Iceland"	2009	1
"Iceland"	2010	1
"Iceland"	2011	1
"Iceland"	2012	1
"Turkey"	2003	1
"Turkey"	2004	1
"Turkey"	2005	1
"Turkey"	2006	1
"Turkey"	2007	1
"Turkey"	2008	1
"Turkey"	2009	1
"Turkey"	2010	1
"Turkey"	2011	1
"Turkey"	2012	1
"Philippines"	2003	1
"Philippines"	2004	1
"Philippines"	2005	1
"Philippines"	2006	1
"Philippines"	2007	1
"Philippines"	2008	1
"Philippines"	2009	1
"Philippines"	2010	1
"Philippines"	2011	1
"Philippines"	2012	1
"Australia"	2003	1
"Australia"	2004	1
"Australia"	2005	1
"Australia"	2006	1
"Australia"	2007	1
"Australia"	2008	1
"Australia"	2009	1
"Australia"	2010	1
"Australia"	2011	1
"Australia"	2012	1
"Japan"	2003	1
"Japan"	2004	1
"Japan"	2005	1
"Japan"	2006	1
"Japan"	2007	1
"Japan"	2008	1
"Japan"	2009	1
"Japan"	2010	1
"Japan"	2011	1
"Japan"	2012	1
"South Korea"	2003	1
"South Korea"	2004	1
"South Korea"	2005	1
"South Korea"	2006	1
"South Korea"	2007	1
"South Korea"	2008	1
"South Korea"	2009	1
"South Korea"	2010	1
"South Korea"	2011	1
"South Korea"	2012	1
"Canada"	2003	1
"Canada"	2004	1
"Canada"	2005	1
"Canada"	2006	1
"Canada"	2007	1
"Canada"	2008	1
"Canada"	2009	1
"Canada"	2010	1
"Canada"	2011	1
"Canada"	2012	1
"Pakistan"	2003	1
"Pakistan"	2004	1
"Pakistan"	2005	1
"Pakistan"	2006	1
"Pakistan"	2007	1
"Pakistan"	2008	1
"Pakistan"	2009	1
"Pakistan"	2010	1
"Pakistan"	2011	1
"Pakistan"	2012	1
"Turkey"	2003	1
"Turkey"	2004	1
"Turkey"	2005	1
"Turkey"	2006	1
"Turkey"	2007	1
"Turkey"	2008	1
"Turkey"	2009	1
"Turkey"	2010	1
"Turkey"	2011	1
"Turkey"	2012	1
"Liberia"	2003	1
"Liberia"	2004	1
"Liberia"	2005	1
"Liberia"	2006	1
"Liberia"	2007	1
"Liberia"	2008	1
"Liberia"	2009	1
"Liberia"	2010	1
"Liberia"	2011	1
"Liberia"	2012	1
